Car_Make|Horsepower|Price|Year
Mercedes-Benz|429|96,25|2022
Mercedes-Benz|429|96|2022
Lexus|471|93,05|2022
Lexus|471|93,05|2022
Lexus|471|93,05|2022
Lexus|471|92,95|2022
Lexus|471|92,95|2022
Lexus|471|92,95|2022
Lexus|471|92,95|2022
Lexus|471|92,95|2022
Lexus|471|92,95|2022
Lexus|471|92,95|2022
Lexus|471|92|2022
Lexus|471|92|2022
Porsche|325|88,8|2022
Porsche|325|88,7|2022
Porsche|325|88,55|2022
Porsche|325|88,55|2022
Porsche|325|88,55|2022
Porsche|325|88,55|2022
Porsche|325|87,2|2022
Chevrolet|625|85|2023
BMW|444|84,595|2022
BMW|444|84,595|2022
BMW|444|84,595|2022
BMW|444|84,595|2022
BMW|444|84,595|2022
Alfa Romeo|505|83,25|2022
Dodge|797|82,19|2022
Mercedes-AMG|503|81,55|2022
Porsche|402|81,25|2022
Alfa Romeo|505|81,25|2022
Porsche|469|81,25|2022
Ford|760|81|2022
Ford|760|81|2022
Mercedes-AMG|503|80,9|2022
Alfa Romeo|505|80,5|2022
Dodge|797|80,19|2022
Porsche|616|79,9|2022
Porsche|469|79,9|2022
Dodge|797|78,595|2022
Dodge|717|78,595|2022
Mercedes-AMG|503|78,1|2022
Alfa Romeo|505|78|2022
Mercedes-Benz|503|77,6|2022
Audi|444|77,25|2022
Mercedes-AMG|503|77|2022
Audi|444|76,7|2022
Audi|444|76,45|2022
Audi|444|76,35|2022
Dodge|797|76|2022
Audi|444|75,4|2022
Audi|444|75,1|2022
Audi|444|75,1|2022
Audi|444|75,1|2022
BMW|503|75|2022
BMW|503|74,7|2022
Dodge|797|74,29|2022
BMW|503|74|2022
BMW|473|73,795|2022
BMW|503|72,8|2022
BMW|473|72,8|2022
BMW|473|72,8|2022
BMW|473|72,8|2022
BMW|473|72,8|2022
BMW|473|72,8|2022
Jaguar|380|71,9|2022
BMW|503|71,8|2022
BMW|473|71,8|2022
BMW|473|71,8|2022
BMW|473|71,8|2022
BMW|473|71,8|2022
BMW|473|71,8|2022
Dodge|717|71,49|2022
Dodge|717|71,49|2022
Mercedes-Benz|469|71,45|2022
Jaguar|380|70,9|2022
Jaguar|380|70,1|2022
Dodge|717|70|2022
Mercedes-Benz|503|70|2022
Audi|394|70|2022
Dodge|717|69,995|2022
Jaguar|380|69,9|2022
Mercedes-Benz|503|69,9|2022
Audi|394|69,9|2022
Chevrolet|650|69|2022
Audi|394|69|2022
Mercedes-Benz|469|69|2022
Porsche|365|68,9|2022
Audi|394|68|2022
Dodge|717|68|2022
Audi|394|67,895|2022
Audi|394|67,8|2022
Audi|394|67,6|2022
Audi|394|67,6|2022
Audi|394|67,6|2022
Dodge|717|67,5|2022
Audi|394|67|2022
Chevrolet|650|67|2022
Chevrolet|650|65|2022
Chevrolet|650|64|2022
BMW|382|63,7|2022
BMW|382|63,7|2022
Chevrolet|650|63|2022
Ferrari|986|625|2022
Ferrari|986|625|2022
Ferrari|986|625|2022
Ferrari|986|625|2022
Ferrari|986|625|2022
Ferrari|986|625|2022
Jaguar|380|62,25|2022
Chevrolet|455|62,195|2022
Dodge|717|61,5|2022
Dodge|717|61|2022
BMW|405|59,895|2022
BMW|405|59,895|2022
BMW|405|59,895|2022
BMW|405|59|2022
BMW|405|58,9|2022
BMW|405|58,9|2022
BMW|405|58,9|2022
BMW|405|58,9|2022
BMW|405|58,9|2022
BMW|405|58,9|2022
BMW|405|58,9|2022
BMW|405|58,9|2022
BMW|405|58,9|2022
BMW|405|58,9|2022
BMW|405|58,9|2022
Audi|394|57|2022
Audi|394|56,2|2022
Audi|401|56,2|2022
Audi|401|56|2022
Audi|349|52,5|2022
Audi|349|52,5|2022
Kia|368|52,2|2022
Ferrari|986|507|2022
Ford|660|500|2022
Ford|660|500|2022
Ford|660|500|2022
Ford|660|500|2022
Ford|660|500|2022
Ford|660|500|2022
Ford|660|500|2022
Ford|660|500|2022
Ford|660|500|2022
Ford|660|500|2022
Ford|660|500|2022
Ford|647|500|2022
Ford|660|500|2022
Ford|647|500|2022
Ford|660|500|2022
Ford|660|500|2022
Ford|660|500|2022
Ford|660|500|2022
Ford|660|500|2022
Ford|660|500|2022
Ford|660|500|2022
Ford|660|500|2022
Chevrolet|455|49|2022
Lamborghini|729|460,247|2022
Ford|460|45|2022
Chevrolet|455|44|2022
Chevrolet|455|43,995|2022
Toyota|382|43,09|2022
Toyota|382|43,09|2022
Toyota|382|43,09|2022
Toyota|382|43,09|2022
Ford|460|43|2022
Chevrolet|455|42,5|2022
Chevrolet|455|42|2022
Nissan|400|40|2023
Lamborghini|770|393,695|2022
Ford|460|39|2022
Ford|460|38,5|2022
Subaru|310|38,17|2022
Chevrolet|455|37,5|2022
Ford|460|36,12|2022
Ferrari|661|333,75|2022
Ferrari|661|333,75|2022
Aston Martin|715|330|2022
Rolls-Royce|624|330|2022
Aston Martin|715|329,1|2022
Aston Martin|715|321|2022
Aston Martin|715|314,5|2022
Aston Martin|715|308|2022
Aston Martin|715|307,82|2022
Bentley|650|300|2022
Dodge|305|28|2022
Ferrari|710|276,55|2022
Ferrari|710|276,55|2022
Ferrari|710|275|2022
Ferrari|710|274,39|2022
Ferrari|591|250|2022
Chevrolet|455|25|2022
Ferrari|612|245|2022
Ferrari|612|245|2022
Bentley|542|229|2022
McLaren|671|225|2022
McLaren|671|225|2022
