Car_Model|Horsepower|Time
SF90 Stradale|986|2.5
SF90 Stradale|986|2.5
SF90 Stradale|986|2.5
SF90 Stradale|986|2.5
SF90 Stradale|986|2.5
SF90 Stradale|986|2.5
SF90 Stradale|986|2.5
SF90 Stradale|986|2.5
SF90 Stradale|986|2.5
SF90 Stradale|986|2.5
SF90 Stradale|986|2.5
SF90 Stradale|986|2.5
SF90 Stradale|986|2.5
SF90 Stradale|986|2.5
SF90 Stradale|986|2.5
SF90 Stradale|986|2.5
SF90 Stradale|986|2.5
SF90 Stradale|986|2.5
SF90 Stradale|986|2.5
SF90 Stradale|986|2.5
SF90 Stradale|986|2.5
SF90 Stradale|986|2.5
SF90 Stradale|986|2.5
918 Spyder|887|2.2
Sián|819|2.8
Fenyr Supersport|800|2.7
Fenyr SuperSport|800|2.7
Challenger SRT Hellcat Redeye|797|3.4
Challenger SRT Hellcat Redeye|797|3.4
Challenger SRT Hellcat Redeye|797|3.5
Challenger Hellcat Redeye|797|3.4
Challenger SRT Hellcat Redeye|797|3.5
Challenger SRT Hellcat Redeye|797|3.5
Challenger SRT Hellcat Redeye|797|3.5
Charger|797|3.3
Huayra Roadster BC|791|2.5
Huayra BC|791|2.7
812 Superfast|789|2.9
Senna|789|2.7
Senna|789|2.7
812 Superfast|789|2.8
Senna|789|2.7
Senna|789|2.7
Lykan Hypersport|780|2.8
Aventador|770|2.9
Aventador|770|2.9
Aventador SVJ|770|2.8
Aventador SVJ|770|2.8
Aventador|770|2.8
Aventador SVJ|770|2.8
Aventador|770|2.8
Aventador|770|2.8
Aventador|770|2.8
Aventador SVJ|770|2.8
Aventador|770|2.8
Aventador|770|2.8
Aventador|770|2.9
Huayra|764|2.8
Huayra|764|2.8
Huayra|764|2.6
Huayra|764|2.6
Huayra|764|3
Huayra|764|2.8
Huayra|764|3
Mustang Shelby GT500|760|3.5
Mustang Shelby GT500|760|3.5
Aventador SVJ|759|2.8
Aventador SVJ|759|2.8
Aventador|759|2.9
Aventador SVJ|759|2.8
Aventador SVJ|759|2.8
Aventador SVJ|759|2.8
Aventador SVJ|759|2.8
Aventador|759|2.9
Aventador SVJ|759|2.8
765LT|755|2.8
765LT|755|2.8
Taycan|750|2.6
Taycan Turbo S|750|2.6
Taycan Turbo S|750|2.6
Taycan Turbo S|750|2.6
Taycan Turbo S|750|2.6
Taycan Turbo S|750|2.6
Taycan Turbo S|750|2.6
Aventador|730|2.9
Aventador|730|2.8
Aventador|730|2.9
Aventador S|730|2.9
Huayra|730|3
Aventador S|730|2.9
Aventador|730|2.9
Aventador|730|2.9
Aventador S|730|2.9
Aventador S|730|2.9
SLS AMG|730|2.9
Aventador S|730|2.9
Aventador S|730|2.9
Aventador|730|2.9
Aventador|730|2.9
Aventador|730|2.9
Aventador S|729|2.9
Aventador|729|2.9
Aventador S|729|2.9
Aventador S|729|2.9
Aventador|729|2.9
Aventador S|729|2.9
Aventador|729|2.9
Huayra|720|2.8
Huayra|720|3
AMG GT Black Series|720|3.2
AMG GT Black Series|720|3.1
GT Black Series|720|3.1
GT Black Series|720|3.1
GT Black Series|720|3.1
Challenger SRT Hellcat|717|3.5
Challenger SRT Hellcat|717|3.5
Challenger SRT Hellcat|717|3.5
Charger SRT Hellcat|717|3.6
Challenger SRT Hellcat|717|3.5
Challenger SRT Hellcat|717|3.5
Challenger Hellcat|717|3.5
Challenger SRT Hellcat|717|3.5
Challenger SRT Hellcat|717|3.5
Charger Hellcat|717|3.6
Challenger SRT Hellcat|717|3.6
Challenger SRT Hellcat|717|3.5
Challenger SRT Hellcat|717|3.5
Challenger SRT Hellcat|717|3.5
Challenger SRT Hellcat|717|3.5
Challenger Hellcat|717|3.5
Challenger Hellcat|717|3.5
Challenger SRT Hellcat|717|3.5
Challenger SRT Hellcat|717|3.5
Challenger SRT Hellcat|717|3.5
Challenger SRT Hellcat|717|3.5
Challenger SRT Hellcat|717|3.5
Challenger SRT Hellcat|717|3.5
Charger SRT Hellcat|717|3.5
Charger Hellcat|717|3.6
Challenger SRT Hellcat|717|3.5
DBS Superleggera|715|3.4
DBS Superleggera|715|3.2
DBS Superleggera|715|3.4
DBS Superleggera|715|3.2
DBS Superleggera|715|3.2
DBS Superleggera|715|3.2
DBS Superleggera|715|3.4
DBS Superleggera|715|3.2
DBS Superleggera|715|3.4
DBS Superleggera|715|3.4
DBS Superleggera|715|3.4
DBS Superleggera|715|3.2
DBS Superleggera|715|3.2
DBS Superleggera|715|3.2
DBS Superleggera|715|3.2
DBS Superleggera|715|3.2
DBS Superleggera|715|3.4
720S|710|2.7
F8 Tributo|710|2.8
F8 Tributo|710|2.9
F8 Tributo|710|2.9
F8 Tributo|710|2.9
F8 Tributo|710|2.8
F8 Tributo|710|2.9
F8 Spider|710|2.9
F8 Tributo|710|2.9
F8 Spider|710|2.9
F8 Tributo|710|2.8
F8 Spider|710|2.9
F8 Tributo|710|2.8
720S|710|2.7
Charger Hellcat|707|3.6
Panamera Turbo S E-Hybrid|690|3.2
Panamera Turbo S E-Hybrid|690|3
Panamera Turbo S E-Hybrid|690|3
Panamera Turbo S E-Hybrid|689|3
Panamera Turbo S E-Hybrid|689|3
Artura|671|3
Artura|671|3
Artura|671|3
Artura|671|3
Artura|671|3
Artura|671|3
Artura|671|3
Artura|671|3
Artura|671|3
Artura|671|3
Artura|671|3
Artura|671|3
488 GTB|661|3
488 GTB|661|3
GT|660|3
GT|660|3
GT|660|2.8
GT|660|2.8
GT|660|2.9
GT|660|2.9
GT|660|2.8
GT|660|3
GT|660|3
GT|660|3
GT|660|2.9
GT|660|2.8
GT|660|3
GT|660|3
GT|660|3
GT|660|3
GT|660|3
GT|660|2.8
GT|660|2.9
GT|660|2.9
GT|660|2.8
GT|660|2.9
GT|660|3
GT|660|2.9
GT|660|2.8
GT|660|2.9
GT|660|2.8
GT|660|2.9
GT|660|2.8
GT|660|3
Camaro ZL1|650|3.5
Camaro ZL1|650|3.5
Camaro ZL1|650|3.5
Camaro ZL1|650|3.5
Camaro ZL1|650|3.5
Camaro ZL1|650|3.5
Camaro ZL1|650|3.5
Camaro ZL1|650|3.5
Camaro ZL1|650|3.5
Camaro ZL1|650|3.5
Camaro ZL1|650|3.5
Camaro ZL1|650|3.5
Camaro ZL1|650|3.5
Camaro ZL1|650|3.5
Camaro ZL1|650|3.5
Camaro ZL1|650|3.5
Camaro ZL1|650|3.5
Camaro ZL1|650|3.5
Camaro ZL1|650|3.5
Camaro ZL1|650|3.5
Camaro ZL1|650|3.5
Camaro ZL1|650|3.5
Continental GT Speed|650|3.5
Camaro ZL1|650|3.5
Camaro ZL1|650|3.5
Camaro ZL1|650|3.5
Camaro ZL1|650|3.5
Camaro ZL1|650|3.5
Camaro ZL1|650|3.5
Camaro ZL1|650|3.5
Camaro ZL1|650|3.5
GT|647|2.8
GT|647|3
GT|647|3
GT|647|3
Viper|645|3.3
Viper|645|3.3
Viper ACR|645|3.3
Urus|641|3.5
Urus|641|3.2
Urus|641|3.6
Urus|641|3.6
Urus|641|3.6
Urus|641|3.5
Urus|641|3.6
Urus|641|3.5
Urus|641|3.2
Urus|641|3.2
Urus|641|3.6
Urus|641|3.2
Urus|641|3.2
Urus|641|3.6
Urus|641|3.2
Urus|641|3.2
Urus|641|3.6
Urus|641|3.5
Urus|641|3.6
Urus|641|3.6
911 Turbo S|640|2.6
Huracan|630|2.8
DB11|630|3.5
DB11|630|3.5
DB11|630|3.7
DB11|630|3.5
DB11|630|3.5
Panamera Turbo S|630|2.9
AMG GT 63 S|630|3.1
Panamera Turbo S|630|3.1
GT 63 S|630|3.1
Panamera Turbo S|630|2.9
DB11|630|3.7
DB11|630|3.7
AMG GT 4-Door Coupe|630|3.1
Huracan|630|2.8
Continental GT|626|3.6
Continental GT|626|3.3
Continental GT|626|3.6
Continental GT|626|3.4
Continental GT|626|3.5
Continental GT|626|3.3
Continental GT|626|3.6
Continental GT|626|3.6
Continental GT|626|3.3
Continental GT|626|3.3
Continental GT|626|3.6
Continental GT|626|3.3
Continental GT|626|3.3
Continental GT|626|3.6
Continental GT|626|3.6
Continental GT|626|3.3
Continental GT|626|3.3
Corvette Z06|625|2.6
SLS AMG|622|3.5
SLS AMG|622|3.2
SLS AMG|622|3.7
SLS AMG|622|3.7
SLS AMG|622|3.7
SLS AMG|622|3.6
SLS AMG Black Series|622|3.5
SLS AMG|622|3.2
SLS AMG|622|3.6
SLS AMG Black Series|622|3.5
SLS AMG|622|3.5
SLS AMG|622|3.5
SLS AMG|622|3.5
SLS AMG Black Series|622|3.5
SLS AMG|622|3.6
SLS AMG|622|3.6
SLS AMG|622|3.6
MC20|621|2.9
GT|620|3.1
Panamera Turbo S|620|2.9
Panamera Turbo S|620|2.9
Panamera Turbo|620|3.1
Panamera Turbo S|620|2.9
GT|620|3.1
Panamera Turbo S|620|2.9
GT|620|3.1
GT|620|3.1
GT|620|3.1
M8|617|3.1
M5 Competition|617|3.1
M8|617|3.1
Taycan|616|2.6
Taycan|616|2.6
GT|612|3.1
Roma|612|3.4
GT|612|3.1
Roma|612|3.3
GT|612|3.2
GT|612|3.1
GT|612|3.1
GT|612|3.1
GT|612|3.1
GT|612|3.1
GT|612|3.2
GT|612|3.2
Portofino M|612|3.5
Roma|612|3.3
Roma|612|3.3
Portofino|612|3.3
Portofino M|612|3.4
GT|612|3.1
GT|612|3.1
GT|612|3.1
GT|612|3.1
GT|612|3.1
GT|612|3.1
Roma|611|3.3
Roma|611|3.3
Roma|611|3.3
CLS63 AMG|603|3.4
SL 63 AMG|603|3.5
S63 AMG|603|3.4
S63 AMG|603|3.4
GT-R Nismo|600|2.5
M5|600|3.2
M5|600|3.2
M5|600|3.2
M5|600|3.2
M5|600|3.2
M5|600|3.2
M5|600|3.2
M5|600|3.2
GT-R Nismo|600|2.5
600LT|592|2.8
Portofino|592|3.5
600LT|592|2.8
600LT|592|2.9
600LT|592|2.8
600LT|592|2.8
600LT Spider|592|2.8
600LT Spider|592|2.8
600LT Spider|592|2.8
600LT|592|2.8
RS7|591|3.5
RS7|591|3.5
RS7|591|3.5
RS 6|591|3.5
RS 6 Avant|591|3.5
RS 7|591|3.5
RS7|591|3.5
Portofino|591|3.3
RS7|591|3.5
RS7|591|3.5
RS 7|591|3.5
RS7|591|3.5
Portofino|591|3.5
RS7 Sportback|591|3.5
Portofino|591|3.3
Portofino|591|3.5
RS 7 Sportback|591|3.5
RS 6 Avant|591|3.1
RS7|591|3.5
RS 6|591|3.5
RS 7|591|3.5
RS7|591|3.5
RS 7|591|3.5
RS7|591|3.5
RS6|591|3.5
RS 6 Avant|591|3.5
RS7|591|3.5
RS7|591|3.5
Portofino|591|3.4
RS7|591|3.5
RS6 Avant|591|3.5
RS7|591|3.5
RS 7 Sportback|591|3.5
RS7|591|3.5
RS6|591|3.5
RS7|591|3.5
RS 7|591|3.4
RS 7|591|3.5
RS7 Sportback|591|3.5
SLS AMG|583|3.6
SLS AMG|583|3.6
AMG GT R|577|3.5
SLS AMG|577|3.6
GT 63|577|3.3
AMG GT R|577|3.5
AMG GT R|577|3.5
F-Type|575|3.5
F-Type R|575|3.5
F-Type R|575|3.5
F-Type|575|3.5
F-Type|575|3.5
F-Type R|575|3.5
F-Type R|575|3.5
F-Type R|575|3.5
F-Type R|575|3.5
F-Type|575|3.5
F-Type|575|3.5
F-Type R|575|3.5
F-Type R|575|3.5
F-Type R|575|3.5
NSX|573|2.9
NSX|573|2.7
NSX|573|2.7
NSX|573|2.9
NSX|573|2.7
NSX|573|2.7
NSX|573|2.7
NSX|573|2.7
NSX|573|2.7
NSX|573|2.9
NSX|573|2.7
NSX|573|2.7
NSX|573|2.7
NSX|573|2.9
NSX|573|2.7
NSX|573|2.7
R8|562|3.2
Taycan 4S|562|3.8
570S|562|2.8
570S|562|3.2
570S|562|3.1
570S|562|3.1
570S|562|3.1
570S|562|3.1
570S|562|3.1
R8 Spyder|562|3.5
570S|562|3.1
570S|562|3.1
570S|562|2.9
570S|562|2.9
570S|562|3.1
570S|562|3.1
570S|562|3.1
570S|562|3.1
570S|562|3.1
570S|562|2.7
570S|562|3.1
570S|562|3.1
570S Spider|562|3.1
570S|562|3.1
570S|562|3.1
570S|562|3.1
570S|562|3.1
R8|562|3.2
GranTurismo|550|2.8
Continental GT|542|3.9
Continental GT|542|3.4
Continental GT|542|3.9
Continental GT|542|3.9
Continental GT|542|3.9
Continental GT|542|3.3
Continental GT|542|3.9
AMG GT|523|3.8
AMG GT|523|3.8
AMG GT|523|3.8
Giulia Quadrifoglio|505|3.8
Giulia Quadrifoglio|505|3.8
Giulia Quadrifoglio|505|3.8
Giulia Quadrifoglio|505|3.8
Giulia Quadrifoglio|505|3.8
Giulia Quadrifoglio|505|3.8
Giulia Quadrifoglio|505|3.8
